State,Area_Name,POP_ESTIMATE_2019,N_POP_CHG_2019,Births_2019,Deaths_2019,NATURAL_INC_2019,INTERNATIONAL_MIG_2019,DOMESTIC_MIG_2019,NET_MIG_2019,RESIDUAL_2019,GQ_ESTIMATES_2019,R_birth_2019,R_death_2019,R_NATURAL_INC_2019,R_INTERNATIONAL_MIG_2019,R_DOMESTIC_MIG_2019,R_NET_MIG_2019
US,United States,"328,239,523","1,552,022","3,791,712","2,835,038","956,674","595,348",0,"595,348",0,"8,084,362",,,,,,
AL,Alabama,"4,903,185","15,504","57,313","53,879","3,434","2,772","9,387","12,159",-89,"116,625",11.7,11.0,0.7,0.6,1.9,2.5
AL,Autauga County,"55,869",336,624,541,83,-16,270,254,-1,455,11.2,9.7,1.5,-0.3,4.8,4.6
AL,Baldwin County,"223,234","5,379","2,304","2,326",-22,80,"5,297","5,377",24,"2,170",10.4,10.5,-0.1,0.4,24.0,24.4
AL,Barbour County,"24,686",-186,256,312,-56,13,-141,-128,-2,"2,812",10.3,12.6,-2.3,0.5,-5.7,-5.2
AL,Bibb County,"22,394",27,240,252,-12,10,31,41,-2,"2,148",10.7,11.3,-0.5,0.4,1.4,1.8
AL,Blount County,"57,826",55,651,657,-6,6,59,65,-4,489,11.3,11.4,-0.1,0.1,1.0,1.1
AL,Bullock County,"10,101",-73,109,109,0,-1,-72,-73,0,"1,663",10.8,10.8,0.0,-0.1,-7.1,-7.2
AL,Butler County,"19,448",-183,213,272,-59,18,-141,-123,-1,333,10.9,13.9,-3.0,0.9,-7.2,-6.3
AL,Calhoun County,"113,605",-726,"1,269","1,532",-263,14,-475,-461,-2,"2,833",11.1,13.4,-2.3,0.1,-4.2,-4.0
AL,Chambers County,"33,254",-346,354,441,-87,6,-265,-259,0,458,10.6,13.2,-2.6,0.2,-7.9,-7.7
AL,Cherokee County,"26,196",182,222,343,-121,-3,306,303,0,290,8.5,13.1,-4.6,-0.1,11.7,11.6
AL,Chilton County,"44,428",265,551,503,48,35,184,219,-2,393,12.4,11.4,1.1,0.8,4.2,4.9
AL,Choctaw County,"12,589",-244,133,176,-43,-2,-199,-201,0,129,10.5,13.8,-3.4,-0.2,-15.7,-15.8
AL,Clarke County,"23,622",-296,266,324,-58,-5,-232,-237,-1,280,11.2,13.6,-2.4,-0.2,-9.8,-10.0
AL,Clay County,"13,235",-59,143,187,-44,-2,-12,-14,-1,255,10.8,14.1,-3.3,-0.2,-0.9,-1.1
AL,Cleburne County,"14,910",-100,187,189,-2,-11,-86,-97,-1,178,12.5,12.6,-0.1,-0.7,-5.7,-6.5
AL,Coffee County,"52,342",392,599,570,29,34,334,368,-5,498,11.5,10.9,0.6,0.7,6.4,7.1
AL,Colbert County,"55,241",237,630,719,-89,73,256,329,-3,474,11.4,13.0,-1.6,1.3,4.6,6.0
AL,Conecuh County,"12,067",-225,123,182,-59,1,-167,-166,0,45,10.1,14.9,-4.8,0.1,-13.7,-13.6
AL,Coosa County,"10,663",20,89,122,-33,13,42,55,-2,196,8.4,11.5,-3.1,1.2,3.9,5.2
AL,Covington County,"37,049",96,413,543,-130,-5,235,230,-4,575,11.2,14.7,-3.5,-0.1,6.4,6.2
AL,Crenshaw County,"13,772",-53,137,179,-42,3,-14,-11,0,132,9.9,13.0,-3.0,0.2,-1.0,-0.8
AL,Cullman County,"83,768",350,990,"1,050",-60,34,380,414,-4,"1,027",11.8,12.6,-0.7,0.4,4.5,5.0
AL,Dale County,"49,172",29,648,546,102,18,-89,-71,-2,941,13.2,11.1,2.1,0.4,-1.8,-1.4
AL,Dallas County,"37,196","-1,098",438,542,-104,5,"-1,002",-997,3,853,11.6,14.4,-2.8,0.1,-26.5,-26.4
AL,DeKalb County,"71,513",106,795,819,-24,44,90,134,-4,782,11.1,11.5,-0.3,0.6,1.3,1.9
AL,Elmore County,"81,209",198,932,821,111,25,67,92,-5,"4,147",11.5,10.1,1.4,0.3,0.8,1.1
AL,Escambia County,"36,633",109,420,474,-54,-1,166,165,-2,"2,472",11.5,13.0,-1.5,0.0,4.5,4.5
AL,Etowah County,"102,268",-343,"1,175","1,487",-312,37,-62,-25,-6,"2,085",11.5,14.5,-3.0,0.4,-0.6,-0.2
AL,Fayette County,"16,302",-143,174,225,-51,5,-97,-92,0,291,10.6,13.7,-3.1,0.3,-5.9,-5.6
AL,Franklin County,"31,362",64,432,367,65,29,-28,1,-2,272,13.8,11.7,2.1,0.9,-0.9,0.0
AL,Geneva County,"26,271",-35,278,365,-87,-7,62,55,-3,229,10.6,13.9,-3.3,-0.3,2.4,2.1
