State,Area_name,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018
US,United States,"161,389,026","155,102,319","6,286,707",3.9,"61,937",
AL,Alabama,"2,216,627","2,130,845","85,782",3.9,"49,881",100.0
AL,"Autauga County, AL","26,196","25,261",935,3.6,"59,338",119.0
AL,"Baldwin County, AL","95,233","91,809","3,424",3.6,"57,588",115.5
AL,"Barbour County, AL","8,414","7,987",427,5.1,"34,382",68.9
AL,"Bibb County, AL","8,605","8,268",337,3.9,"46,064",92.3
AL,"Blount County, AL","25,069","24,201",868,3.5,"50,412",101.1
AL,"Bullock County, AL","4,791","4,571",220,4.6,"29,267",58.7
AL,"Butler County, AL","8,973","8,553",420,4.7,"37,365",74.9
AL,"Calhoun County, AL","46,307","44,191","2,116",4.6,"45,400",91.0
AL,"Chambers County, AL","15,366","14,775",591,3.8,"39,917",80.0
AL,"Cherokee County, AL","11,688","11,276",412,3.5,"42,132",84.5
AL,"Chilton County, AL","19,624","18,924",700,3.6,"47,547",95.3
AL,"Choctaw County, AL","4,749","4,493",256,5.4,"39,907",80.0
AL,"Clarke County, AL","7,659","7,096",563,7.4,"40,741",81.7
AL,"Clay County, AL","6,010","5,784",226,3.8,"39,201",78.6
AL,"Cleburne County, AL","5,795","5,552",243,4.2,"46,495",93.2
AL,"Coffee County, AL","21,007","20,193",814,3.9,"55,122",110.5
AL,"Colbert County, AL","23,541","22,478","1,063",4.5,"49,055",98.3
AL,"Conecuh County, AL","4,512","4,281",231,5.1,"32,613",65.4
AL,"Coosa County, AL","4,426","4,246",180,4.1,"42,423",85.0
AL,"Covington County, AL","15,652","14,945",707,4.5,"40,203",80.6
AL,"Crenshaw County, AL","6,369","6,114",255,4.0,"39,057",78.3
AL,"Cullman County, AL","38,113","36,879","1,234",3.2,"45,796",91.8
AL,"Dale County, AL","20,257","19,424",833,4.1,"45,309",90.8
AL,"Dallas County, AL","14,880","13,927",953,6.4,"34,035",68.2
AL,"DeKalb County, AL","30,289","29,153","1,136",3.8,"39,491",79.2
AL,"Elmore County, AL","37,590","36,313","1,277",3.4,"60,367",121.0
AL,"Escambia County, AL","14,423","13,780",643,4.5,"38,418",77.0
AL,"Etowah County, AL","43,252","41,502","1,750",4.0,"44,903",90.0
AL,"Fayette County, AL","6,529","6,267",262,4.0,"39,254",78.7
AL,"Franklin County, AL","14,291","13,768",523,3.7,"39,388",79.0
AL,"Geneva County, AL","10,872","10,450",422,3.9,"37,823",75.8
AL,"Greene County, AL","2,860","2,672",188,6.6,"28,524",57.2
AL,"Hale County, AL","5,979","5,680",299,5.0,"34,724",69.6
AL,"Henry County, AL","6,830","6,531",299,4.4,"46,027",92.3
AL,"Houston County, AL","45,580","43,764","1,816",4.0,"47,993",96.2
AL,"Jackson County, AL","23,412","22,468",944,4.0,"41,929",84.1
AL,"Jefferson County, AL","315,793","304,248","11,545",3.7,"55,013",110.3
AL,"Lamar County, AL","5,743","5,528",215,3.7,"40,936",82.1
AL,"Lauderdale County, AL","42,390","40,644","1,746",4.1,"48,707",97.6
AL,"Lawrence County, AL","14,044","13,469",575,4.1,"43,909",88.0
AL,"Lee County, AL","75,243","72,541","2,702",3.6,"48,937",98.1
AL,"Limestone County, AL","42,979","41,472","1,507",3.5,"64,863",130.0
AL,"Lowndes County, AL","3,614","3,354",260,7.2,"33,973",68.1
AL,"Macon County, AL","7,862","7,442",420,5.3,"32,495",65.1
AL,"Madison County, AL","181,565","175,352","6,213",3.4,"63,755",127.8
AL,"Marengo County, AL","7,608","7,237",371,4.9,"37,733",75.6
AL,"Marion County, AL","12,621","12,114",507,4.0,"37,887",76.0
AL,"Marshall County, AL","42,925","41,496","1,429",3.3,"46,233",92.7
AL,"Mobile County, AL","189,004","180,293","8,711",4.6,"43,598",87.4
AL,"Monroe County, AL","7,187","6,753",434,6.0,"39,556",79.3
AL,"Montgomery County, AL","105,953","101,782","4,171",3.9,"49,640",99.5
AL,"Morgan County, AL","57,158","55,192","1,966",3.4,"52,797",105.8
AL,"Perry County, AL","3,411","3,192",219,6.4,"26,814",53.8
AL,"Pickens County, AL","7,745","7,395",350,4.5,"37,586",75.4
AL,"Pike County, AL","15,260","14,579",681,4.5,"37,259",74.7
AL,"Randolph County, AL","9,581","9,202",379,4.0,"40,546",81.3
AL,"Russell County, AL","24,019","23,067",952,4.0,"39,104",78.4
AL,"St. Clair County, AL","40,120","38,742","1,378",3.4,"57,284",114.8
AL,"Shelby County, AL","114,634","111,425","3,209",2.8,"75,663",151.7
AL,"Sumter County, AL","4,820","4,543",277,5.7,"27,859",55.9
AL,"Talladega County, AL","35,332","33,847","1,485",4.2,"41,630",83.5
AL,"Tallapoosa County, AL","17,959","17,226",733,4.1,"42,205",84.6
AL,"Tuscaloosa County, AL","102,508","98,826","3,682",3.6,"52,557",105.4
AL,"Walker County, AL","25,128","24,078","1,050",4.2,"45,434",91.1
AL,"Washington County, AL","6,711","6,327",384,5.7,"44,424",89.1
AL,"Wilcox County, AL","2,756","2,498",258,9.4,"25,385",50.9
AL,"Winston County, AL","9,810","9,405",405,4.1,"41,156",82.5
AK,Alaska,"352,662","329,901","22,761",6.5,"74,912",100.0
AK,"Aleutians East Borough, AK","2,292","2,222",70,3.1,"70,081",93.6
AK,"Aleutians West Census Area, AK","3,602","3,477",125,3.5,"82,633",110.3
AK,"Anchorage Borough/municipality, AK","149,431","141,363","8,068",5.4,"82,113",109.6
AK,"Bethel Census Area, AK","7,111","6,209",902,12.7,"44,304",59.1
AK,"Bristol Bay Borough, AK",444,417,27,6.1,"77,257",103.1
AK,"Denali Borough, AK","1,057",975,82,7.8,"75,477",100.8
AK,"Dillingham Census Area, AK","2,004","1,844",160,8.0,"54,524",72.8
AK,"Fairbanks North Star Borough, AK","45,476","42,901","2,575",5.7,"74,268",99.1
AK,"Haines Borough, AK","1,097",992,105,9.6,"58,943",78.7
AK,"Hoonah-Angoon Census Area, AK","1,146","1,004",142,12.4,"51,188",68.3
AK,"Juneau Borough/city, AK","17,045","16,305",740,4.3,"79,173",105.7
AK,"Kenai Peninsula Borough, AK","26,372","24,384","1,988",7.5,"65,439",87.4
AK,"Ketchikan Gateway Borough, AK","6,971","6,556",415,6.0,"68,309",91.2
AK,"Kodiak Island Borough, AK","6,099","5,744",355,5.8,"74,109",98.9
AK,"Kusilvak Census Area, AK","2,685","2,160",525,19.6,"32,728",43.7
AK,"Lake and Peninsula Borough, AK",741,660,81,10.9,"49,403",65.9
AK,"Matanuska-Susitna Borough, AK","47,728","44,184","3,544",7.4,"74,649",99.6
AK,"Nome Census Area, AK","4,082","3,622",460,11.3,"55,318",73.8
AK,"North Slope Borough, AK","3,387","3,157",230,6.8,"89,276",119.2
AK,"Northwest Arctic Borough, AK","2,916","2,518",398,13.6,"59,337",79.2
AK,"Petersburg Borough, AK","1,379","1,261",118,8.6,"66,075",88.2
AK,"Prince of Wales-Hyder Census Area, AK","2,872","2,567",305,10.6,"49,356",65.9
AK,"Prince of Wales-Outer Ketchikan Census Area, AK",,,,,,
AK,"Sitka Borough/city, AK","4,331","4,152",179,4.1,"71,825",95.9
AK,"Skagway Municipality, AK",830,752,78,9.4,"74,635",99.6
AK,"Skagway-Hoonah-Angoon Census Area, AK",,,,,,
AK,"Southeast Fairbanks Census Area, AK","2,925","2,647",278,9.5,"63,527",84.8
AK,"Valdez-Cordova Census Area, AK","4,828","4,478",350,7.2,"68,528",91.5
AK,"Wrangell Borough/city, AK","1,033",962,71,6.9,"57,832",77.2
AK,"Wrangell-Petersburg Census Area, AK",,,,,,
AK,"Yakutat Borough/city, AK",246,226,20,8.1,"59,523",79.5
AK,"Yukon-Koyukuk Census Area, AK","2,536","2,165",371,14.6,"38,912",51.9
AZ,Arizona,"3,422,583","3,260,518","162,065",4.7,"59,079",100.0
AZ,"Apache County, AZ","20,491","18,485","2,006",9.8,"33,652",57.0
AZ,"Cochise County, AZ","49,482","46,751","2,731",5.5,"49,164",83.2
AZ,"Coconino County, AZ","76,133","72,001","4,132",5.4,"60,187",101.9
AZ,"Gila County, AZ","21,357","20,133","1,224",5.7,"43,585",73.8
AZ,"Graham County, AZ","14,813","14,071",742,5.0,"50,157",84.9
AZ,"Greenlee County, AZ","4,263","4,089",174,4.1,"65,818",111.4
AZ,"La Paz County, AZ","8,896","8,351",545,6.1,"37,350",63.2
AZ,"Maricopa County, AZ","2,217,163","2,127,021","90,142",4.1,"65,234",110.4
AZ,"Mohave County, AZ","84,938","80,173","4,765",5.6,"45,129",76.4
AZ,"Navajo County, AZ","40,224","37,173","3,051",7.6,"40,650",68.8
AZ,"Pima County, AZ","484,209","463,057","21,152",4.4,"53,395",90.4
AZ,"Pinal County, AZ","179,801","170,951","8,850",4.9,"58,848",99.6
AZ,"Santa Cruz County, AZ","19,252","17,505","1,747",9.1,"40,545",68.6
AZ,"Yavapai County, AZ","104,598","100,023","4,575",4.4,"48,758",82.5
AZ,"Yuma County, AZ","96,960","80,735","16,225",16.7,"44,116",74.7
AR,Arkansas,"1,353,305","1,303,995","49,310",3.6,"47,094",100.0
AR,"Arkansas County, AR","9,079","8,779",300,3.3,"43,887",93.2
AR,"Ashley County, AR","7,836","7,425",411,5.2,"41,127",87.3
AR,"Baxter County, AR","16,398","15,729",669,4.1,"39,686",84.3
AR,"Benton County, AR","134,760","130,888","3,872",2.9,"68,978",146.5
AR,"Boone County, AR","15,912","15,361",551,3.5,"44,482",94.5
AR,"Bradley County, AR","4,486","4,293",193,4.3,"37,729",80.1
AR,"Calhoun County, AR","2,445","2,352",93,3.8,"44,969",95.5
AR,"Carroll County, AR","12,619","12,217",402,3.2,"45,023",95.6
AR,"Chicot County, AR","3,359","3,134",225,6.7,"31,787",67.5
AR,"Clark County, AR","9,700","9,346",354,3.6,"45,408",96.4
AR,"Clay County, AR","5,806","5,556",250,4.3,"37,687",80.0
AR,"Cleburne County, AR","9,129","8,721",408,4.5,"44,902",95.3
AR,"Cleveland County, AR","3,268","3,144",124,3.8,"47,600",101.1
AR,"Columbia County, AR","9,025","8,603",422,4.7,"40,909",86.9
AR,"Conway County, AR","8,174","7,821",353,4.3,"44,565",94.6
AR,"Craighead County, AR","54,562","52,919","1,643",3.0,"45,615",96.9
AR,"Crawford County, AR","27,004","26,054",950,3.5,"47,363",100.6
AR,"Crittenden County, AR","21,204","20,294",910,4.3,"42,606",90.5
AR,"Cross County, AR","7,453","7,150",303,4.1,"41,214",87.5
AR,"Dallas County, AR","2,850","2,730",120,4.2,"37,259",79.1
AR,"Desha County, AR","5,427","5,186",241,4.4,"36,132",76.7
