county,somecollege
"Onslow, NC  ",40.70
"Cumberland, NC  ",40.20
"Hoke, NC  ",39.80
"Camden, NC  ",38.80
"Currituck, NC  ",38.40
"Pamlico, NC  ",38.30
"Jones, NC  ",38.10
"Carteret, NC  ",37.60
"Dare, NC  ",37.10
"Craven, NC  ",36.60
"Haywood, NC  ",36.60
"Harnett, NC  ",35.70
"Gates, NC  ",35.50
"Perquimans, NC  ",35.40
"Lee, NC  ",35.30
"Johnston, NC  ",35.10
"Yadkin, NC  ",35.10
"Person, NC  ",34.80
"Beaufort, NC  ",34.60
"Stanly, NC  ",34.60
"Pasquotank, NC  ",34.40
"Alamance, NC  ",34.00
"Pitt, NC  ",34.00
"Wayne, NC  ",34.00
"Macon, NC  ",33.90
"Burke, NC  ",33.80
"Columbus, NC  ",33.80
"Henderson, NC  ",33.80
"Cabarrus, NC  ",33.70
"Lenoir, NC  ",33.70
"Rowan, NC  ",33.70
"Franklin, NC  ",33.40
"Iredell, NC  ",33.40
"McDowell, NC  ",33.40
"Rutherford, NC  ",33.40
"Gaston, NC  ",33.30
"Polk, NC  ",33.20
"Brunswick, NC  ",33.10
"Lincoln, NC  ",33.10
"Rockingham, NC  ",33.10
"Ashe, NC  ",32.90
"Washington, NC  ",32.90
"Hertford, NC  ",32.80
"Catawba, NC  ",32.70
"Cherokee, NC  ",32.40
"Davie, NC  ",32.40
"Surry, NC  ",32.30
"Mitchell, NC  ",32.10
"New Hanover, NC  ",32.10
"Pender, NC  ",32.10
"Avery, NC  ",32.00
"Caldwell, NC  ",32.00
"Martin, NC  ",32.00
"Cleveland, NC  ",31.90
"Davidson, NC  ",31.90
"Randolph, NC  ",31.80
"Bladen, NC  ",31.60
"Sampson, NC  ",31.60
"Wilkes, NC  ",31.60
"Yancey, NC  ",31.60
"Clay, NC  ",31.50
"Moore, NC  ",31.50
"Richmond, NC  ",31.40
"Jackson, NC  ",31.20
"Swain, NC  ",31.20
"Greene, NC  ",31.10
North Ca,31.00
"Nash, NC  ",30.90
"Warren, NC  ",30.90
"Caswell, NC  ",30.70
"Hyde, NC  ",30.70
"Duplin, NC  ",30.60
"Granville, NC  ",30.60
"Alleghany, NC  ",30.50
"Scotland, NC  ",30.30
"Graham, NC  ",30.20
"Guilford, NC  ",30.10
"Transylvania, NC  ",30.10
"Chowan, NC  ",30.00
"Union, NC  ",30.00
"Vance, NC  ",30.00
"Robeson, NC  ",29.90
"Edgecombe, NC  ",29.80
"Montgomery, NC  ",29.70
"Anson, NC  ",29.50
"Forsyth, NC  ",29.30
"Stokes, NC  ",29.10
"Wilson, NC  ",28.80
"Buncombe, NC  ",28.40
"Alexander, NC  ",28.30
"Mecklenburg, NC  ",27.90
"Watauga, NC  ",27.60
"Bertie, NC  ",27.30
"Madison, NC  ",27.10
"Northampton, NC  ",27.00
"Tyrrell, NC  ",26.50
"Chatham, NC  ",25.50
"Wake, NC  ",25.50
"Halifax, NC  ",25.20
"Durham, NC  ",23.60
"Orange, NC  ",20.30
