sub_region_2,retail_avg,grocery_avg,parks_avg,transit_avg,workplaces_avg,residential_avg
,-15.963578088578089,-0.5207847707847708,63.9714513875025,-20.204794520547946,-28.428904428904428,9.130827505827506
Abbeville County,-5.6976744186046515,9.46551724137931,NA,NA,-20.891304347826086,NA
Acadia Parish,-3.116279069767442,14.852459016393443,NA,-11.108695652173912,-21.32085561497326,7.262773722627737
Accomack County,6.465277777777778,8.703225806451613,NA,NA,-15.820652173913043,6.566371681415929
Ada County,-16.08080808080808,3.186868686868687,95.24516129032259,-23.207070707070706,-31.328282828282827,8.747474747474747
Adair County,-11.827893175074184,21.81382978723404,NA,NA,-24.503184713375795,-0.2
Adams County,-9.811683320522675,1.8662361623616237,24.202479338842974,8.166666666666666,-21.98639053254438,7.558169934640523
Addison County,-7.473684210526316,-6.782608695652174,NA,NA,-28.657608695652176,1.6
Aiken County,-9.717171717171718,1.6111111111111112,0.8478260869565217,2.292682926829268,-24.242424242424242,7.404040404040404
Aitkin County,-7.549019607843137,-3.9019607843137254,-7.66,NA,-20.05389221556886,NA
Alachua County,-27.106060606060606,-11.171717171717171,-22.85483870967742,-31.666666666666668,-29.7979797979798,11.252525252525253
Alamance County,-14.166666666666666,1.5808080808080809,33.98888888888889,-2.8152173913043477,-23.737373737373737,7.929292929292929
Alameda County,-40.85353535353536,-12.621212121212121,13.757575757575758,-52.85858585858586,-41.656565656565654,17.46969696969697
Alamosa County,-0.3782051282051282,13.252747252747254,NA,NA,-22.141304347826086,NA
Albany County,-21.12565445026178,-3.538152610441767,37.425,-5.757894736842105,-29.342931937172775,10.256797583081571
Albemarle County,-25.61111111111111,-9.592391304347826,11.555555555555555,-30.391304347826086,-39.01030927835052,12.963414634146341
Alcona County,-11,NA,NA,NA,-18.476923076923075,NA
Alcorn County,-5.5,-0.2589928057553957,NA,NA,-21.255434782608695,0.13333333333333333
Alexander County,-7.662251655629139,12.784313725490197,NA,NA,-20.88294314381271,7.678832116788321
Alexandria,-30.12121212121212,-9.984848484848484,55.63380281690141,-50.21649484536083,-42.13265306122449,17.343434343434343
Alger County,-12.625,-27.4,-18,NA,-31.830645161290324,NA
Allamakee County,-24.902439024390244,-0.058823529411764705,NA,NA,-16.161538461538463,NA
Allegan County,-2.619565217391304,12.853260869565217,-21,-10.493421052631579,-26.061855670103093,8.05050505050505
Allegany County,-13.85483870967742,1.4084084084084083,-4.315789473684211,-5.309782608695652,-25.806878306878307,7.953405017921147
