i_state_x,area_name,less_than_a_high_school_diploma_2014_18,high_school_diploma_only_2014_18,some_college_or_associate_s_degree_2014_18,bachelor_s_degree_or_higher_2014_18,percent_of_adults_with_less_than_a_high_school_diploma_2014_18,percent_of_adults_with_a_high_school_diploma_only_2014_18,percent_of_adults_completing_some_college_or_associate_s_degree_2014_18,percent_of_adults_with_a_bachelor_s_degree_or_higher_2014_18,i_state_y,povall_2018,ci90lb_all_2018,ci90uball_2018,pctpovall_2018,ci90lballp_2018,ci90uballp_2018,pov017_2018,ci90lb017_2018,ci90ub017_2018,pctpov017_2018,ci90lb017p_2018,ci90ub017p_2018,pov517_2018,ci90lb517_2018,ci90ub517_2018,pctpov517_2018,ci90lb517p_2018,ci90ub517p_2018,medhhinc_2018,ci90lbinc_2018,ci90ubinc_2018,i_state,civilian_labor_force_2018,employed_2018,unemployed_2018,unemployment_rate_2018,median_household_income_2018,med_hh_income_percent_of_state_total_2018
US,United States,"26,948,057","59,265,308","63,365,655","68,867,051",12.3,27.1,29,31.5,US,"41,852,315","41,619,366","42,085,264",13.1,13,13.2,"12,997,532","12,873,127","13,121,937",18,17.8,18.2,"8,930,152","8,834,521","9,025,783",17,16.8,17.2,"61,937","61,843","62,031",US,"161,389,026","155,102,319","6,286,707",3.9,"61,937",NA
AL,Alabama,"470,043","1,020,172","987,148","822,595",14.2,30.9,29.9,24.9,AL,"801,758","785,668","817,848",16.8,16.5,17.1,"255,613","247,744","263,482",23.9,23.2,24.6,"178,175","171,349","185,001",22.8,21.9,23.7,"49,881","49,123","50,639",AL,"2,216,627","2,130,845","85,782",3.9,"49,881",100
AL,Autauga County,"4,204","12,119","10,552","10,291",11.3,32.6,28.4,27.7,AL,"7,587","6,334","8,840",13.8,11.5,16.1,"2,509","1,965","3,053",19.3,15.1,23.5,"1,891","1,469","2,313",19.5,15.1,23.9,"59,338","53,628","65,048",AL,"26,196","25,261",935,3.6,"59,338",119
AL,Baldwin County,"14,310","40,579","46,025","46,075",9.7,27.6,31.3,31.3,AL,"21,069","17,390","24,748",9.8,8.1,11.5,"6,442","4,723","8,161",13.9,10.2,17.6,"4,534","3,223","5,845",13.1,9.3,16.9,"57,588","54,437","60,739",AL,"95,233","91,809","3,424",3.6,"57,588",115.5
AL,Barbour County,"4,901","6,486","4,566","2,220",27,35.7,25.1,12.2,AL,"6,788","5,662","7,914",30.9,25.8,36,"2,242","1,788","2,696",43.9,35,52.8,"1,411","1,056","1,766",36.7,27.5,45.9,"34,382","31,157","37,607",AL,"8,414","7,987",427,5.1,"34,382",68.9
AL,Bibb County,"2,650","7,471","3,846","1,813",16.8,47.3,24.4,11.5,AL,"4,400","3,445","5,355",21.8,17.1,26.5,"1,238",923,"1,553",27.8,20.7,34.9,840,606,"1,074",26.3,19,33.6,"46,064","41,283","50,845",AL,"8,605","8,268",337,3.9,"46,064",92.3
AL,Blount County,"7,861","13,489","13,267","5,010",19.8,34,33.5,12.6,AL,"7,527","6,045","9,009",13.2,10.6,15.8,"2,374","1,784","2,964",18,13.5,22.5,"1,520","1,053","1,987",15.5,10.7,20.3,"50,412","46,157","54,667",AL,"25,069","24,201",868,3.5,"50,412",101.1
AL,Bullock County,"1,760","2,817","1,582",945,24.8,39.7,22.3,13.3,AL,"3,610","2,966","4,254",42.5,34.9,50.1,"1,433","1,207","1,659",68.3,57.5,79.1,"1,005",828,"1,182",66.5,54.8,78.2,"29,267","26,064","32,470",AL,"4,791","4,571",220,4.6,"29,267",58.7
AL,Butler County,"2,141","6,091","3,421","2,235",15.4,43.9,24.6,16.1,AL,"4,731","3,804","5,658",24.5,19.7,29.3,"1,566","1,170","1,962",36.3,27.1,45.5,"1,131",831,"1,431",35.3,25.9,44.7,"37,365","34,051","40,679",AL,"8,973","8,553",420,4.7,"37,365",74.9
AL,Calhoun County,"12,620","25,653","26,643","14,219",15.9,32.4,33.7,18,AL,"21,719","18,807","24,631",19.5,16.9,22.1,"6,397","5,152","7,642",26.5,21.3,31.7,"4,265","3,314","5,216",24.1,18.7,29.5,"45,400","41,668","49,132",AL,"46,307","44,191","2,116",4.6,"45,400",91
