county,unemployment_change
Alamance County,2.9999999999999996
Alexander County,3.3
Alleghany County,0.7999999999999998
Anson County,3.5999999999999996
Ashe County,1.1
Avery County,1.1
Beaufort County,1.5
Bertie County,0.6000000000000005
Bladen County,1.7000000000000002
Brunswick County,2.3
Buncombe County,4.6
Burke County,2.8
Cabarrus County,3.1999999999999997
Caldwell County,3.6
Camden County,0.9999999999999996
Carteret County,0.7000000000000002
Caswell County,2.5
Catawba County,3.5000000000000004
Chatham County,1.7999999999999998
Cherokee County,2.0999999999999996
Chowan County,1.4000000000000004
Clay County,2.2
Cleveland County,3.1
Columbus County,2.5
Craven County,2.2
Cumberland County,4.299999999999999
Currituck County,0.8999999999999999
Dare County,-1.5999999999999996
Davidson County,2.6999999999999997
Davie County,2.8
Duplin County,1.1000000000000005
Durham County,3.4
Edgecombe County,5.3999999999999995
Forsyth County,3.5
Franklin County,2.7
Gaston County,3.7
Gates County,1.1999999999999997
Graham County,0.7999999999999998
Granville County,2.2
Greene County,1.7999999999999998
Guilford County,4.299999999999999
Halifax County,2.9000000000000004
Harnett County,2.5999999999999996
Haywood County,3.2
Henderson County,2.9
Hertford County,1.3000000000000007
Hoke County,3.500000000000001
Hyde County,-6.000000000000001
Iredell County,3
Jackson County,1.8999999999999995
Johnston County,2.6
Jones County,1.6999999999999997
Lee County,3
Lenoir County,2.3000000000000003
Lincoln County,2.4
McDowell County,2
Macon County,1.5999999999999996
Madison County,2.4999999999999996
Martin County,2
Mecklenburg County,4.199999999999999
Mitchell County,1.4000000000000004
Montgomery County,2.4000000000000004
Moore County,2.4
Nash County,3.6999999999999993
New Hanover County,3.0000000000000004
Northampton County,1.0999999999999996
Onslow County,2.0999999999999996
Orange County,2.0000000000000004
Pamlico County,1.7000000000000002
Pasquotank County,1.9000000000000004
Pender County,2.0999999999999996
Perquimans County,1
Person County,2.6999999999999997
Pitt County,2.6999999999999997
Polk County,1.7000000000000002
Randolph County,2.8000000000000003
Richmond County,3.500000000000001
Robeson County,3.8000000000000007
Rockingham County,3.3
Rowan County,3
Rutherford County,3.0999999999999996
Sampson County,1.5999999999999996
Scotland County,4.9
Stanly County,1.7000000000000002
Stokes County,2.0999999999999996
Surry County,2.1
Swain County,0.9000000000000004
Transylvania County,1.5
Tyrrell County,-0.7999999999999998
Union County,2.2
Vance County,4
Wake County,2.9
Warren County,3.5999999999999996
Washington County,1.1000000000000005
Watauga County,1.4999999999999996
Wayne County,2.3000000000000003
Wilkes County,1.5999999999999996
Wilson County,3.000000000000001
Yadkin County,2.4
Yancey County,1.5999999999999996
